a+,"[0.0, 0.0]"
grace,"[0.0, 0.0, 0.0, 0.0, 0.0]"
graceful,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
gracefully,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
gracious,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
graciously,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
graciousness,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
grand,"[0.0, 0.0, 0.0, 0.0, 0.0]"
grandeur,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
grateful,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
gratefully,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
gratification,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
gratified,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
gratifies,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
gratify,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
gratifying,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
gratifyingly,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
gratitude,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
great,"[0.0, 0.0, 0.0, 0.0, 0.0]"
greatest,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
greatness,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
grin,"[0.0, 0.0, 0.0, 0.0]"
groundbreaking,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
guarantee,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
guidance,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
guiltless,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
gumption,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
gush,"[0.0, 0.0, 0.0, 0.0]"
gusto,"[0.0, 0.0, 0.0, 0.0, 0.0]"
gutsy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
hail,"[0.0, 0.0, 0.0, 0.0]"
halcyon,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
hale,"[0.0, 0.0, 0.0, 0.0]"
hallmark,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
hallmarks,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
hallowed,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
handier,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
handily,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
hands-down,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
handsome,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
handsomely,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
handy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
happier,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
happily,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
happiness,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
happy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
hard-working,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
hardier,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
hardy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
harmless,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
harmonious,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
harmoniously,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
harmonize,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
harmony,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
headway,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
heal,"[0.0, 0.0, 0.0, 0.0]"
healthful,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
healthy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
hearten,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
heartening,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
heartfelt,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
heartily,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
heartwarming,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
heaven,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
heavenly,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
helped,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
helpful,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
helping,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
hero,"[0.0, 0.0, 0.0, 0.0]"
heroic,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
heroically,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
heroine,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
heroize,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
heros,"[0.0, 0.0, 0.0, 0.0, 0.0]"
high-quality,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
high-spirited,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
hilarious,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
holy,"[0.0, 0.0, 0.0, 0.0]"
homage,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
honest,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
honesty,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
honor,"[0.0, 0.0, 0.0, 0.0, 0.0]"
honorable,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
honored,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
honoring,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
hooray,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
hopeful,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
hospitable,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
hot,"[0.0, 0.0, 0.0]"
hotcake,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
hotcakes,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
hottest,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
hug,"[0.0, 0.0, 0.0]"
humane,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
humble,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
humility,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
humor,"[0.0, 0.0, 0.0, 0.0, 0.0]"
humorous,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
humorously,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
humour,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
humourous,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
ideal,"[0.0, 0.0, 0.0, 0.0, 0.0]"
idealize,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
ideally,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
idol,"[0.0, 0.0, 0.0, 0.0]"
idolize,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
idolized,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
idyllic,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
illuminate,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
illuminati,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
illuminating,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
illumine,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
illustrious,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
ilu,"[0.0, 0.0, 0.0]"
imaculate,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
imaginative,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
immaculate,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
immaculately,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
immense,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
impartial,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
impartiality,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
impartially,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
impassioned,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
impeccable,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
impeccably,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
important,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
impress,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
impressed,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
impresses,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
impressive,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
impressively,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
impressiveness,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
improve,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
improved,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
improvement,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
improvements,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
improves,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
improving,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
incredible,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
incredibly,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
indebted,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
individualized,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
indulgence,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
indulgent,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
industrious,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
inestimable,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
inestimably,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
inexpensive,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
infallibility,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
infallible,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
infallibly,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
influential,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
ingenious,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
ingeniously,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
ingenuity,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
ingenuous,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
ingenuously,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
innocuous,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
innovation,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
innovative,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
inpressed,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
insightful,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
insightfully,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
inspiration,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
inspirational,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
inspire,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
inspiring,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
instantly,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
instructive,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
instrumental,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
integral,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
integrated,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
intelligence,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
intelligent,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
intelligible,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
interesting,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
interests,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
intimacy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
intimate,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
intricate,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
intrigue,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
intriguing,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
intriguingly,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
intuitive,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
invaluable,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
invaluablely,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
inventive,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
invigorate,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
invigorating,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
invincibility,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
invincible,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
inviolable,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
inviolate,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
invulnerable,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
irreplaceable,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
irreproachable,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
irresistible,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
irresistibly,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
issue-free,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
jaw-droping,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
jaw-dropping,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
jollify,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
jolly,"[0.0, 0.0, 0.0, 0.0, 0.0]"
jovial,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
joy,"[0.0, 0.0, 0.0]"
joyful,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
joyfully,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
joyous,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
joyously,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
jubilant,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
jubilantly,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
jubilate,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
jubilation,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
jubiliant,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
judicious,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
justly,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
keen,"[0.0, 0.0, 0.0, 0.0]"
keenly,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
keenness,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
kid-friendly,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
kindliness,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
kindly,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
kindness,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
knowledgeable,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
kudos,"[0.0, 0.0, 0.0, 0.0, 0.0]"
large-capacity,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
laud,"[0.0, 0.0, 0.0, 0.0]"
laudable,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
laudably,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
lavish,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
lavishly,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
law-abiding,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
lawful,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
lawfully,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
lead,"[0.0, 0.0, 0.0, 0.0]"
leading,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
leads,"[0.0, 0.0, 0.0, 0.0, 0.0]"
lean,"[0.0, 0.0, 0.0, 0.0]"
led,"[0.0, 0.0, 0.0]"
legendary,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
leverage,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
levity,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
liberate,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
liberation,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
liberty,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
lifesaver,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
light-hearted,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
lighter,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
likable,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
like,"[0.0, 0.0, 0.0, 0.0]"
liked,"[0.0, 0.0, 0.0, 0.0, 0.0]"
likes,"[0.0, 0.0, 0.0, 0.0, 0.0]"
liking,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
lionhearted,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
lively,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
logical,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
long-lasting,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
lovable,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
lovably,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
love,"[0.0, 0.0, 0.0, 0.0]"
loved,"[0.0, 0.0, 0.0, 0.0, 0.0]"
loveliness,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
lovely,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
lover,"[0.0, 0.0, 0.0, 0.0, 0.0]"
loves,"[0.0, 0.0, 0.0, 0.0, 0.0]"
loving,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
low-cost,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
low-price,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
low-priced,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
low-risk,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
lower-priced,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
loyal,"[0.0, 0.0, 0.0, 0.0, 0.0]"
loyalty,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
lucid,"[0.0, 0.0, 0.0, 0.0, 0.0]"
lucidly,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
luck,"[0.0, 0.0, 0.0, 0.0]"
luckier,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
luckiest,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
luckiness,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
lucky,"[0.0, 0.0, 0.0, 0.0, 0.0]"
lucrative,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
luminous,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
lush,"[0.0, 0.0, 0.0, 0.0]"
luster,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
lustrous,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
